Agent,Type,Name,Energy,Community,Pmin,Pmax,a,b
26,Producer,House 2,Solar,3,3.2943546534576633,3.4790303213827936,0.0,0.0
0,Producer,Build 1,Solar,1,15.850323600538688,12.957291972055298,0.0,0.0
8,Consumer,Build 9,Flats,1,0.0,0.0,0.0003993066173339546,0.15188652349901688
6,Consumer,Build 7,Flats,1,0.0,0.0,0.00022764902303271936,0.15765354883343602
35,Consumer,House 11,App,3,-7.135806218158428,-4.038854938431,0.0059338142411920125,0.1759435339489147
36,Consumer,House 12,App,3,0.0,0.0,0.004667775740171805,0.17907440942593802
36,Consumer,House 12,App,3,-6.220534964957422,-2.905057226370572,0.004521260758049137,0.16736294431062063
42,Consumer,Firm 8,Store,3,0.0,0.0,0.011346348928421754,0.2306057180084057
27,Producer,House 3,Solar,3,3.2815304750168544,4.1175931123627185,0.0,0.0
34,Consumer,House 10,App,3,0.0,0.0,0.009409740207917938,0.15943891546285846
24,Producer,Plant 4,Wind,2,146.26680759998914,122.1644583334823,0.0,0.0
26,Producer,House 2,Solar,3,3.0007462057024274,2.8265727504692464,0.0,0.0
5,Consumer,Build 6,Flats,1,0.0,0.0,0.0009244632556346269,0.19599459284215978
17,Consumer,Firm 3,Fact,2,0.0,0.0,0.0014587989172874585,0.14718929097284694
21,Producer,Plant 1,Fossil,2,0.0,532.1922427583582,0.0001203912726208647,0.10890883576805492
38,Consumer,House 14,App,3,0.0,0.0,0.006918528393373055,0.17480585547062816
39,Consumer,House 15,App,3,0.0,0.0,0.014365490984984082,0.2569961650261804
24,Producer,Plant 4,Wind,2,143.34787232715846,159.84815895323638,0.0,0.0
40,Consumer,Firm 7,Store,3,0.0,0.0,0.003555539277288958,0.20046230271396406
49,Producer,Plant 8,Wind,3,143.9089514176926,133.7545352018348,0.0,0.0
27,Consumer,House 3,App,3,-6.3254114252459885,-2.6942352633955275,0.004561458167203064,0.17199514725277226
1,Producer,Build 2,Solar,1,12.004108230974905,11.225521596153795,0.0,0.0
12,Consumer,Build 13,Stores,1,0.0,0.0,0.00019354428207933198,0.17606721798686528
22,Producer,Plant 2,Wind,2,122.00116661757735,73.54908332999207,0.0,0.0
7,Consumer,Build 8,Flats,1,-137.94156589251693,-62.1399076431838,0.0004937323599689716,0.17555220897964657
44,Consumer,Firm 10,Store,3,0.0,0.0,0.003002845601800273,0.1910724261771398
33,Consumer,House 9,App,3,-6.404114607444574,-2.2821357858128555,0.7555517897916699,0.0
23,Producer,Plant 3,Fossil,2,0.0,356.7744598540561,0.00013071728820384832,0.1458902515563584
15,Consumer,Firm 1,Fact,2,-86.93617125950644,-5.883780551210887,0.0006078579553159409,0.16785773925072892
19,Consumer,Firm 5,Fact,2,0.0,0.0,0.0007244268377657705,0.13387171013192783
45,Consumer,Firm 11,Store,3,-17.121741623688216,-6.534142902548305,0.00421937645738348,0.2213517843579381
20,Consumer,Firm 6,Fact,2,-73.62949868352342,-9.478216978489332,0.0010355833404784268,0.18171717096937332
31,Consumer,House 7,App,3,0.0,0.0,0.006612748264814713,0.15719930648028796
28,Consumer,House 4,App,3,0.0,0.0,0.008702767348316516,0.1645015806432711
3,Consumer,Build 4,Flats,1,0.0,0.0,0.00029427691606633146,0.19485563377717244
31,Consumer,House 7,App,3,-4.495015166890237,-2.3167950752866107,0.007966839824915434,0.20374601492024785
43,Consumer,Firm 9,Store,3,-30.694343345724004,-6.18483825537634,0.0028546497216235538,0.16774645088419263
50,Producer,Plant 9,Wind,3,63.92142559569451,62.11633468783291,0.0,0.0
12,Producer,Build 13,Solar,1,72.42514369957428,73.56496255256742,0.0,0.0
44,Consumer,Firm 10,Store,3,-31.84354706554302,-6.515240776223975,0.0032403125555807593,0.20795575385340426
20,Consumer,Firm 6,Fact,2,0.0,0.0,0.0009929998867729327,0.13633376955238224
39,Consumer,House 15,App,3,-5.2490607401456835,-3.8785614211898896,0.01613865596907967,0.25150568639659665
42,Consumer,Firm 8,Store,3,-14.309485919071681,-5.92816568301034,0.008852637566403025,0.24991738432899002
16,Consumer,Firm 2,Fact,2,0.0,0.0,0.0015666494179764545,0.18517436660089498
6,Consumer,Build 7,Flats,1,-183.56220371368207,-82.16199975834571,0.00019256892415702803,0.17829057536330953
0,Consumer,Build 1,Flats,1,-106.96767603999099,-49.22899805256473,0.0007029964276359701,0.1827844773267414
25,Producer,House 1,Solar,3,3.325470652896805,3.900406007005503,0.0,0.0
34,Consumer,House 10,App,3,-7.55957728675014,-3.4897507955745506,0.011170194203847454,0.1967190318381808
25,Consumer,House 1,App,3,0.0,0.0,0.008327246822219232,0.15518270067459206
46,Producer,Plant 5,Fossil,3,0.0,16.890943962176877,0.0024480816918896176,0.1624414477257853
46,Producer,Plant 5,Fossil,3,0.0,15.855821918543906,0.002851562675119617,0.1712261960609679
38,Consumer,House 14,App,3,-6.589441028211443,-2.347591018933182,0.006944063223954568,0.19057741932334424
35,Consumer,House 11,App,3,0.0,0.0,0.006992131046610913,0.17060937049457128
16,Consumer,Firm 2,Fact,2,-66.97233037802106,-6.904731314153082,0.0014288502243539549,0.1650550614915029
27,Producer,House 3,Solar,3,3.317483998525637,3.9789792414145433,0.0,0.0
37,Consumer,House 13,App,3,0.0,0.0,0.011520300441355168,0.19839239113427298
22,Producer,Plant 2,Fossil,2,0.0,242.21268006834543,0.00019047658918343197,0.1483636845649446
25,Producer,House 1,Solar,3,3.5395557688840187,3.3873749814336573,0.0,0.0
15,Consumer,Firm 1,Fact,2,0.0,0.0,0.0005812292546154734,0.17416125060348034
17,Consumer,Firm 3,Fact,2,-67.96046034806521,-6.264976928741241,0.0013398530483275484,0.17203560874613227
2,Producer,Build 3,Solar,1,11.138731910075366,13.22766238016944,0.0,0.0
13,Consumer,Build 14,Stores,1,0.0,0.0,0.0004857935250233935,0.180810764573447
14,Consumer,Build 15,Stores,1,0.0,0.0,0.0002793283066216776,0.19010058793318685
5,Consumer,Build 6,Flats,1,-78.6132498068784,-43.73844500990704,0.0007522880596232017,0.20785462549960973
18,Consumer,Firm 4,Fact,2,0.0,0.0,0.0022506504341408004,0.18157874714354852
22,Producer,Plant 2,Fossil,2,0.0,245.30515844555515,0.00019215810811907855,0.1275600570901653
41,Producer,Firm 7,Solar,3,17.300379514399882,17.163327695708116,0.0,0.0
9,Consumer,Build 10,Flats,1,0.0,0.0,0.0006236534165695906,0.17047969922879827
1,Producer,Build 2,Solar,1,12.658263871444706,10.850257433629304,0.0,0.0
25,Consumer,House 1,App,3,-7.076462118364105,-2.5715988698658876,0.009845548749179086,0.16678410971509064
30,Consumer,House 6,App,3,-6.2217420188898425,-3.5378964981515515,0.01591784803056806,0.21027000524722436
32,Consumer,House 8,App,3,-7.214372758449015,-3.6435382930246183,0.012377787330820239,0.20580858454472817
28,Producer,House 4,Solar,3,3.2855156896618385,2.8313131846987245,0.0,0.0
32,Consumer,House 8,App,3,0.0,0.0,0.011238532475752789,0.22567387719963536
0,Consumer,Build 1,Flats,1,0.0,0.0,0.0007731352003877531,0.18904199979753408
47,Producer,Plant 6,Fossil,3,0.0,267.19786408078465,0.00017187288631554328,0.1672730706019871
48,Producer,Plant 7,Fossil,3,0.0,317.09219922334586,0.00015664313679189596,0.1158903822141482
33,Consumer,House 9,App,3,0.0,0.0,0.6572646576724744,0.0
19,Consumer,Firm 5,Fact,2,-103.72951758492789,-6.269534287283037,0.0005936387373310938,0.14940078611760127
14,Consumer,Build 15,Stores,1,-274.06629527241665,-81.56786111311351,0.0002622705415311539,0.2269148584180926
43,Consumer,Firm 9,Store,3,0.0,0.0,0.0023095423078518086,0.16249175029227728
12,Producer,Build 13,Solar,1,66.352014552518,74.68026070911095,0.0,0.0
50,Producer,Plant 9,Wind,3,63.03216481651022,58.270724761336865,0.0,0.0
13,Consumer,Build 14,Stores,1,-183.9104038690511,-48.40229916438742,0.0005784260975867839,0.1941590918579137
41,Producer,Firm 7,Solar,3,20.283064788127916,21.36805096297299,0.0,0.0
21,Producer,Plant 1,Fossil,2,0.0,61.707471076407735,0.0005412615783632406,0.1395986659166019
37,Consumer,House 13,App,3,-6.27750658879098,-2.1434587554302937,0.008879593088460832,0.14401853719256558
3,Consumer,Build 4,Flats,1,-139.29573658433284,-61.4835567315493,0.0002781513260001248,0.21134560406009298
4,Consumer,Build 5,Flats,1,-154.7505710277303,-79.59409898943382,0.0005248221119054005,0.1808224747157519
10,Consumer,Build 11,Flats,1,0.0,0.0,0.0004824766035049623,0.15684382612740205
27,Consumer,House 3,App,3,0.0,0.0,0.006087736600141504,0.20141408212082262
4,Consumer,Build 5,Flats,1,0.0,0.0,0.0007177926794658669,0.12763185707984442
2,Consumer,Build 3,Flats,1,-292.9725806351816,-114.59327544855498,0.00032626803746498305,0.17906896231471703
11,Consumer,Build 12,Flats,1,0.0,0.0,0.0008247951683734112,0.13981263777458927
47,Producer,Plant 6,Fossil,3,0.0,308.84579502888505,0.00015445959194754794,0.13102607633403907
7,Consumer,Build 8,Flats,1,0.0,0.0,0.000521866179988232,0.21010244234289263
28,Producer,House 4,Solar,3,3.6054451198060864,3.4028055220050906,0.0,0.0
3,Producer,Build 4,Solar,1,11.854155546432558,13.16714743501169,0.0,0.0
45,Consumer,Firm 11,Store,3,0.0,0.0,0.0035611129617922226,0.16867037911354765
29,Consumer,House 5,App,3,-5.934205697994118,-3.5028172005110947,0.008044872622496108,0.21477232008690117
8,Consumer,Build 9,Flats,1,-91.51500816988633,-40.38708048344301,0.00037263140760171286,0.15816119521881988
18,Consumer,Firm 4,Fact,2,-38.53716031168333,-7.322134355159309,0.0016534605522358573,0.1451167818162602
48,Producer,Plant 7,Fossil,3,0.0,421.8196637808838,0.00012805243931093623,0.1214549623422099
21,Producer,Plant 1,Fossil,2,0.0,65.23258002110644,0.0004628896004629051,0.1521824572151325
49,Producer,Plant 8,Wind,3,138.38031060751882,153.36250698425806,0.0,0.0
40,Consumer,Firm 7,Store,3,-29.456223157435304,-5.759177124864154,0.0032869826203604908,0.16605017629882082
23,Producer,Plant 3,Fossil,2,0.0,300.15291615084845,0.0001596288975974909,0.13879314373553442
22,Producer,Plant 2,Wind,2,106.08528088184335,95.43108862683233,0.0,0.0
3,Producer,Build 4,Solar,1,12.551137815803546,11.598211108190878,0.0,0.0
28,Consumer,House 4,App,3,-5.858169944331908,-2.300074449841337,0.009823508704331138,0.164673056586712
12,Consumer,Build 13,Stores,1,-288.2207865689714,-62.33015972801599,0.00019623028472546858,0.19999187085269374
30,Consumer,House 6,App,3,0.0,0.0,0.015310721901915412,0.23344209866129698
1,Consumer,Build 2,Flats,1,0.0,0.0,0.00018020210352902793,0.16970457512954534
2,Consumer,Build 3,Flats,1,0.0,0.0,0.00033665504440559215,0.19903099675841032
26,Consumer,House 2,App,3,-6.066691276799891,-3.2272623520160275,0.009613641699408901,0.23095763823346682
29,Consumer,House 5,App,3,0.0,0.0,0.009446701318768406,0.2149947294787673
1,Consumer,Build 2,Flats,1,-189.13720315428537,-77.19771094493069,0.00020082111847251032,0.13177520312561827
11,Consumer,Build 12,Flats,1,-78.79104236385636,-42.423615159437595,0.0007753829464243433,0.2003440873439766
21,Producer,Plant 1,Fossil,2,0.0,324.51216372305,0.0001274291199966027,0.12529991553400477
26,Consumer,House 2,App,3,0.0,0.0,0.010414821296037253,0.17352196209962994
