2025-03-24 05:19:26 - Mitigated agent 3: deviation=406.17, median=70.32, weight=0.80, threshold=75.48, original=-335.84, new=-10.91
2025-03-24 05:19:26 - Mitigated agent 3: deviation=156.78, median=60.03, weight=0.50, threshold=78.58, original=-96.74, new=-18.55
2025-03-24 05:19:26 - Mitigated agent 3: deviation=183.46, median=62.12, weight=0.45, threshold=101.17, original=-121.34, new=-39.05
2025-03-24 05:19:26 - Mitigated agent 3: deviation=85.22, median=53.23, weight=0.02, threshold=83.24, original=-32.00, new=-30.01
2025-03-24 05:19:26 - Mitigated agent 3: deviation=141.81, median=11.66, weight=0.37, threshold=89.89, original=153.48, new=101.55
2025-03-24 05:19:26 - Mitigated agent 3: deviation=210.22, median=1.39, weight=0.57, threshold=89.63, original=211.61, new=91.02
2025-03-24 05:19:26 - Mitigated agent 3: deviation=234.60, median=-2.44, weight=0.60, threshold=94.86, original=232.16, new=92.42
2025-03-24 05:19:26 - Mitigated agent 3: deviation=199.65, median=0.32, weight=0.58, threshold=83.06, original=199.97, new=83.38
2025-03-24 05:19:26 - Mitigated agent 3: deviation=123.14, median=6.99, weight=0.35, threshold=79.78, original=130.13, new=86.77
2025-03-24 05:19:26 - Mitigated agent 0: deviation=121.03, median=-35.40, weight=0.10, threshold=108.53, original=85.63, new=73.13
2025-03-24 05:19:26 - Mitigated agent 0: deviation=153.45, median=-39.89, weight=0.27, threshold=111.77, original=113.55, new=71.87
2025-03-24 05:19:26 - Mitigated agent 0: deviation=174.98, median=-44.41, weight=0.33, threshold=117.36, original=130.57, new=72.95
2025-03-24 05:19:26 - Mitigated agent 0: deviation=168.37, median=-48.08, weight=0.27, threshold=123.55, original=120.29, new=75.47
2025-03-24 05:19:26 - Mitigated agent 0: deviation=141.02, median=-50.48, weight=0.07, threshold=130.80, original=90.54, new=80.33
2025-03-24 05:19:26 - Mitigated agent 3: deviation=129.07, median=7.82, weight=0.03, threshold=125.05, original=136.89, new=132.86
2025-03-24 05:19:26 - Mitigated agent 3: deviation=133.82, median=6.77, weight=0.15, threshold=113.54, original=140.60, new=120.32
2025-03-24 05:19:26 - Mitigated agent 3: deviation=134.87, median=6.08, weight=0.17, threshold=111.62, original=140.95, new=117.70
2025-03-24 05:19:27 - Mitigated agent 4: deviation=195.06, median=12.63, weight=0.03, threshold=189.41, original=207.69, new=202.04
2025-03-24 05:19:27 - Mitigated agent 4: deviation=203.48, median=10.31, weight=0.11, threshold=182.05, original=213.80, new=192.37
2025-03-24 05:19:27 - Mitigated agent 4: deviation=207.96, median=8.87, weight=0.03, threshold=201.95, original=216.83, new=210.82
2025-03-24 05:19:27 - Mitigated agent 4: deviation=164.85, median=-12.43, weight=0.08, threshold=151.17, original=-177.27, new=-163.59
2025-03-24 05:19:27 - Mitigated agent 4: deviation=168.16, median=-11.26, weight=0.18, threshold=138.07, original=-179.42, new=-149.32
2025-03-24 05:19:27 - Mitigated agent 4: deviation=161.20, median=-11.38, weight=0.10, threshold=145.65, original=-172.59, new=-157.03
2025-03-24 05:19:27 - Mitigated agent 0: deviation=263.90, median=85.58, weight=0.38, threshold=164.44, original=-178.33, new=-78.86
2025-03-24 05:19:27 - Mitigated agent 4: deviation=229.78, median=44.60, weight=0.23, threshold=176.99, original=-185.18, new=-132.39
2025-03-24 05:19:27 - Mitigated agent 4: deviation=244.64, median=-53.44, weight=0.06, threshold=230.73, original=191.20, new=177.29
2025-03-24 05:19:27 - Mitigated agent 4: deviation=254.71, median=47.97, weight=0.48, threshold=132.38, original=-206.73, new=-84.41
2025-03-24 05:19:27 - Mitigated agent 4: deviation=243.84, median=50.53, weight=0.57, threshold=105.84, original=-193.31, new=-55.32
2025-03-24 05:19:27 - Mitigated agent 4: deviation=247.39, median=-55.28, weight=0.06, threshold=233.08, original=192.12, new=177.80
2025-03-24 05:19:27 - Mitigated agent 4: deviation=184.17, median=53.02, weight=0.54, threshold=84.21, original=-131.15, new=-31.19
2025-03-24 05:19:27 - Mitigated agent 4: deviation=103.75, median=47.25, weight=0.12, threshold=91.06, original=-56.50, new=-43.81
2025-03-24 05:19:27 - Mitigated agent 4: deviation=190.29, median=6.89, weight=0.07, threshold=176.32, original=197.19, new=183.21
2025-03-24 05:19:27 - Mitigated agent 4: deviation=234.06, median=2.51, weight=0.08, threshold=215.73, original=236.57, new=218.25
2025-03-24 05:19:27 - Mitigated agent 4: deviation=947.93, median=104.98, weight=0.19, threshold=765.49, original=-842.95, new=-660.51
2025-03-24 05:19:27 - Mitigated agent 4: deviation=905.77, median=-85.56, weight=0.13, threshold=791.81, original=820.21, new=706.24
2025-03-24 05:19:27 - Mitigated agent 4: deviation=810.19, median=-75.70, weight=0.23, threshold=626.06, original=734.50, new=550.36
2025-03-24 05:19:27 - Mitigated agent 4: deviation=632.69, median=-52.64, weight=0.16, threshold=531.03, original=580.05, new=478.39
2025-03-24 05:19:27 - Mitigated agent 4: deviation=397.83, median=-21.98, weight=0.04, threshold=381.11, original=375.85, new=359.14
2025-03-24 05:19:27 - Mitigated agent 4: deviation=554.62, median=43.62, weight=0.17, threshold=457.69, original=-511.01, new=-414.07
