2025-03-24 05:19:48 - Mitigated agent 0: deviation=77.18, median=-30.21, weight=0.01, threshold=76.45, original=46.97, new=46.24
2025-03-24 05:19:48 - Mitigated agent 0: deviation=80.58, median=-30.67, weight=0.02, threshold=78.66, original=49.90, new=47.99
2025-03-24 05:19:48 - Mitigated agent 0: deviation=83.35, median=-31.13, weight=0.03, threshold=80.85, original=52.23, new=49.72
2025-03-24 05:19:48 - Mitigated agent 0: deviation=85.07, median=-31.52, weight=0.02, threshold=83.22, original=53.54, new=51.70
2025-03-24 05:19:48 - Mitigated agent 0: deviation=86.05, median=-31.83, weight=0.00, threshold=86.04, original=54.23, new=54.22
2025-03-24 05:19:48 - Mitigated agent 0: deviation=116.21, median=-7.39, weight=0.05, threshold=110.88, original=-123.61, new=-118.27
2025-03-24 05:19:48 - Mitigated agent 0: deviation=122.23, median=-6.37, weight=0.22, threshold=95.54, original=-128.60, new=-101.91
2025-03-24 05:19:48 - Mitigated agent 0: deviation=123.69, median=-5.41, weight=0.34, threshold=81.42, original=-129.10, new=-86.83
2025-03-24 05:19:48 - Mitigated agent 3: deviation=119.48, median=29.61, weight=0.37, threshold=75.72, original=-89.87, new=-46.11
2025-03-24 05:19:48 - Mitigated agent 3: deviation=125.32, median=30.42, weight=0.37, threshold=78.36, original=-94.90, new=-47.94
2025-03-24 05:19:48 - Mitigated agent 3: deviation=88.07, median=0.67, weight=0.13, threshold=76.94, original=88.74, new=77.62
2025-03-24 05:19:48 - Mitigated agent 3: deviation=116.17, median=-0.19, weight=0.33, threshold=77.83, original=115.98, new=77.64
2025-03-24 05:19:48 - Mitigated agent 0: deviation=103.97, median=-9.78, weight=0.03, threshold=101.17, original=-113.75, new=-110.94
2025-03-24 05:19:48 - Mitigated agent 0: deviation=100.85, median=-8.46, weight=0.11, threshold=89.94, original=-109.31, new=-98.40
2025-03-24 05:19:48 - Mitigated agent 0: deviation=102.27, median=-7.62, weight=0.19, threshold=83.01, original=-109.89, new=-90.63
2025-03-24 05:19:48 - Mitigated agent 0: deviation=96.79, median=-7.01, weight=0.19, threshold=78.22, original=-103.81, new=-85.23
2025-03-24 05:19:48 - Mitigated agent 0: deviation=83.46, median=-6.76, weight=0.09, threshold=76.03, original=-90.22, new=-82.79
2025-03-24 05:19:49 - Mitigated agent 0: deviation=167.77, median=-9.60, weight=0.14, threshold=143.94, original=-177.37, new=-153.54
2025-03-24 05:19:49 - Mitigated agent 3: deviation=181.21, median=-3.91, weight=0.52, threshold=86.18, original=177.30, new=82.26
2025-03-24 05:19:49 - Mitigated agent 0: deviation=99.89, median=-6.51, weight=0.02, threshold=97.67, original=-106.40, new=-104.19
2025-03-24 05:19:49 - Mitigated agent 3: deviation=173.81, median=-8.77, weight=0.37, threshold=109.33, original=165.04, new=100.56
2025-03-24 05:19:49 - Mitigated agent 0: deviation=225.49, median=-47.65, weight=0.00, threshold=224.88, original=177.84, new=177.23
2025-03-24 05:19:49 - Mitigated agent 0: deviation=249.36, median=-51.11, weight=0.02, threshold=244.72, original=198.25, new=193.61
2025-03-24 05:19:49 - Mitigated agent 0: deviation=272.75, median=-54.46, weight=0.03, threshold=264.57, original=218.28, new=210.10
2025-03-24 05:19:49 - Mitigated agent 0: deviation=292.61, median=-57.65, weight=0.03, threshold=284.41, original=234.96, new=226.76
2025-03-24 05:19:49 - Mitigated agent 0: deviation=309.12, median=-60.55, weight=0.02, threshold=304.25, original=248.57, new=243.71
2025-03-24 05:19:49 - Mitigated agent 0: deviation=324.23, median=-62.76, weight=0.00, threshold=324.10, original=261.47, new=261.34
2025-03-24 05:19:49 - Mitigated agent 0: deviation=603.46, median=-81.42, weight=0.10, threshold=542.38, original=522.04, new=460.97
2025-03-24 05:19:49 - Mitigated agent 0: deviation=626.50, median=-86.04, weight=0.01, threshold=618.65, original=540.46, new=532.62
2025-03-24 05:19:49 - Mitigated agent 0: deviation=689.50, median=-96.69, weight=0.00, threshold=687.37, original=592.82, new=590.68
2025-03-24 05:19:49 - Mitigated agent 0: deviation=951.60, median=-113.08, weight=0.11, threshold=847.28, original=838.52, new=734.20
2025-03-24 05:19:49 - Mitigated agent 3: deviation=230.38, median=-59.06, weight=0.02, threshold=224.73, original=171.33, new=165.67
2025-03-24 05:19:49 - Mitigated agent 0: deviation=10973.72, median=-1107.47, weight=0.10, threshold=9899.53, original=9866.26, new=8792.06
2025-03-24 05:19:49 - Mitigated agent 3: deviation=1164.97, median=-362.96, weight=0.12, threshold=1023.29, original=802.01, new=660.32
